要素编号,D1,D2,Z01,Z02,Z03,Z04,Z05,Z06,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,J01,J02,J03,J04,J05,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40,J41,J42,J43,J44,J45,J46,J47,J48,J49,J50,J51,J52,J53,J54,J55,J56,J57,J58,J59,J60,J61,J62
D1,0,4.924428900898052,3.959797974644666,2.2010098692292237,1.240071682515885,2.4388066298453794,2.4166091947189146,3.784471194529326,4.490978611493144,4.504442251822083,4.034572812303401,4.071581729227325,4.10149024407254,4.58718020380955,4.682117279844902,4.755931968488288,4.816868507881674,4.132526803031987,3.8311588035185618,4.714045207910317,4.8553521442264564,4.917090377222873,5.0205134752887135,4.989433278884932,4.503455463431509,4.233858235174574,3.7267799624996494,3.4415758664374154,4.16986543880948,4.093355048802334,3.909106178029846,4.233858235174574,3.9181911926579365,3.550430333854694,3.5902646142032486,3.0885091693062674,2.882321595134342,2.4186773244895647,3.0885091693062674,2.743274604474651,2.867441755680876,2.4578671874434366,1.9002923751652299,2.5197001585285674,2.6341770800173796,2.336426521183341,2.0518284528683193,2.173834298090716,2.5317977802344327,2.0797969986408664,1.470071804746663,5.609713797413277,5.159888026347514,4.7545300036444775,4.459820624195552,2.6098105508084513,2.8894443910359113,3.6493530629109836,2.765863337187866,3.613554728764707,3.9961092188388556,3.1035821597344935,3.913083467321164,3.824191998899172,0.9297550453987569,1.66065582761082,2.707192067232927,3.4565557680699697,5.7828289885756705,5.424430333633611,4.620004810002306,3.793708241578709,3.2668367302670975,2.319003617456812,1.9711812589296691,1.3337499349161703,1.089852181618121,0.8069145624606803,0.7520342781785652,4.849971363031149,4.27733042393916,3.78667253520672,3.37573037364591,3.0463092423455636,2.9038288899696245,2.7938424357067015,3.0083217912982647,3.5668224265054493,4.24394994210713,4.38203402796261,4.432706722634477,4.521676188710947,3.9750611455814253,4.522659001565831,4.785278350199588,3.9362983175115733,3.380499634340725,3.929659301036443,3.6522443632496566,4.5082640167191235,3.9951359314935844,3.4262061947420634,3.294777011507085,2.6867990041848846,2.9099446348303224,2.2253588973966023,2.7842812757015447,2.28351580779386,2.4698178070456938,1.5466810344160242,3.0156996608489455,2.1666666666666665,1.5509853498842456,1.376791761870892,5.256636017665882,4.738143096192854,2.9503295484478413,3.347304056168851,2.2070593809662467,1.7298040993772161,3.0147784145586702,2.0036078569531623,2.496219363579874,3.6690901082178704,1.8135294011647258,2.0747155092793914,2.7051391420364643,3.689323936863109,1.3420548092798263,3.1400636936215163
D2,4.924428900898052,0,1.5524174696260025,2.7448942501386906,3.6969957773546045,3.411418733866861,5.661271941887264,4.495059015803414,1.9405039437103846,2.209072203437452,2.3154073315749675,2.610449088652074,2.9425990023937834,2.8458546851321995,3.4436737489037617,4.0367753907736255,4.433834558132372,4.134542833790024,3.145543584890288,4.6696419087073,5.210672807911768,5.628597614958021,5.978479925718762,6.291087169780576,5.596228888973161,5.847126549758341,5.1761203832815,5.138201155181753,6.240548408949684,6.339733608143344,6.549130561464713,0.9104333522498442,1.1469767022723503,1.4173527750312866,1.788854381999832,2.378141197564929,2.542527176736651,2.831960451701259,3.0291179500896885,3.064129385141706,3.62292085968705,3.8302886459261933,3.8071570028624304,4.122162323613933,4.610374773872028,4.72463990397387,4.720169488482379,5.15385508354884,6.26258732474047,6.04060335470629,5.857568703063679,1.601735170231195,1.8586135812600866,1.7441967269268173,1.5811388300841895,2.3154073315749675,2.142947088059391,2.0464060637561103,2.5179356624028344,2.605336403955884,2.6843165900384323,3.064129385141706,3.1951351910191357,3.5778640431284012,4.3344870259095,4.072809568071871,3.8425975011124383,4.034572812303401,1.4666666666666666,1.3420548092798263,0.7031674369909663,1.2445436468396314,1.6579773487261182,2.6810031290130523,3.444157694157197,3.7950259843935483,4.349457181968547,4.862212573624389,5.4560873241626995,0.8117197107923947,1.4395215254459457,1.855322673343433,3.0885091693062674,3.9,4.8299988497813215,5.374838498865699,6.105735008989499,6.718548123582124,2.1010579345759233,2.7674697629583758,3.3334999958335416,4.236612902884672,3.6015428792548216,4.82263183104182,5.912886116121485,5.421356943709859,5.3923814569981765,6.0004629451031155,6.262764742685311,0.6227180564089801,0.947511360236793,1.6559656464498962,2.063707558955214,2.5024432505497947,3.2348793554697592,3.7276742823851383,4.323064756499593,4.382287581211945,5.4083269131959835,4.529410067056808,6.434628539740616,5.868370964567405,5.187377843273891,5.592157206501103,1.5062831370260004,1.2727922061357857,1.9835434062415787,1.9666666666666666,2.727840008341969,3.2013885876114587,2.567532321553562,3.0568684048294332,2.9190942278575234,2.919855399768207,3.3653462757278865,3.502538761780914,3.268196920491651,3.320809807528546,4.116363011742823,3.8639358172723317
Z01,3.959797974644666,1.5524174696260025,0,1.8306040290327976,2.7406406388125952,3.2579816519502445,5.314132102234569,4.786323107447813,2.867441755680876,3.1064449134018135,2.9683515814524246,3.256446597818617,3.565887765417689,3.68450207701876,4.220847729491737,4.736266696695006,5.080901057445968,4.602656237917888,3.6310390309723255,5.239168721170267,5.720236980327923,6.072158686259041,6.379568080120228,6.614210291318063,5.918426968188234,6.033701646216488,5.333749983725229,5.210672807911768,6.322534653479129,6.37564811520279,6.478768744479497,1.674979270186815,1.5723301886761007,1.4019827229875395,2.118962010041709,2.447901595698288,2.500888730920359,2.5317977802344327,3.17787490139069,3.034065845619629,3.6672726771933513,3.70060055186242,3.4386689931490126,4.006938426723769,4.493575661121355,4.495059015803414,4.396589587396122,4.817214501717311,5.818075283115543,5.502019831136764,5.158918922065401,1.649915822768611,1.2692955176439848,0.8749603165604458,0.5385164807134504,1.644519517805868,1.120515754264774,0.5011098792790969,1.2206555615733703,1.0540925533894598,1.1869662543176571,1.5336956093769787,1.674979270186815,2.042329824272052,3.1933959631993303,2.758824226207808,2.337139752394414,2.482158558817529,1.840591692303803,1.4734690736866896,0.9006170724070864,0.6262764742685312,1.235133820909927,2.1520016522091963,3.049407957110509,3.1313823713426556,3.70060055186242,4.132526803031987,4.613627158273147,2.1171259344267224,2.2866763848189993,2.359142970562733,3.37573037364591,4.0,4.775516260631467,5.199252082965609,5.852349955359813,6.497349887112095,2.8817432995401315,3.5330188539296277,4.03594956471075,4.821364491049764,4.090775530928633,5.301676883569742,6.256108126374486,5.600099205470481,5.400102879678415,6.059886320899281,6.177827737607739,1.6666666666666667,1.2600705447623866,1.7220788470785986,2.209575122556873,2.272785857830771,3.300673331980074,3.49745939536433,4.288615420181928,4.165066359348645,5.124451190127583,4.048730939717064,6.105825997447938,5.398868194147527,4.651045282753354,4.929052196473025,1.2982894729433632,0.7810249675906654,1.2692955176439848,0.6146362971528592,2.030872828230376,2.4067036008246263,1.1175369742826808,1.9564707454438919,1.5804359454839596,1.3743685418725535,2.1868292622475636,2.1628170930011112,1.7919573407620817,1.7770137247015787,2.8869437896232832,2.3194827009486403
Z02,2.2010098692292237,2.7448942501386906,1.8306040290327976,0,0.9614803401237304,1.8027756377319946,3.5577770837670224,3.53679076125361,2.78408173570948,2.903063515973734,2.5197001585285674,2.6997942308422114,2.8944391128123215,3.2472210341220142,3.5978388574871505,3.939684138495257,4.180643225363506,3.5593382655893904,2.781286672667087,4.234251868853445,4.607843554443035,4.867123266251728,5.114793359570952,5.265506201264562,4.606396518851682,4.595771002901592,3.9129414908877838,3.7267799624996494,4.789456011791828,4.8074017006186525,4.837469494592303,2.1543238176075366,1.8442101591497404,1.4472195564061607,1.7628890429569803,1.5538482694408886,1.4395215254459457,1.1377365443917342,2.0669354663903325,1.7666666666666666,2.328566559543064,2.1911437906059725,1.766981104093143,2.471616654922217,2.912234728024359,2.83411753853333,2.683488608343831,3.0798629118120755,4.018429765191595,3.68314479155457,3.328830291725775,3.4618556359912587,3.0886890422961004,2.6843165900384323,2.361026142261971,0.5011098792790969,0.7133644853010899,1.644519517805868,0.8333333333333334,1.8666666666666667,2.26764684689266,1.6549588783075213,2.4388066298453794,2.5720722298480565,1.6090024514862895,1.5441646429200626,1.9333333333333333,2.579620988526114,3.606937759374287,3.2581521688766406,2.420743687382041,1.5933891203622825,1.1080513425729774,0.6666666666666666,1.40988573217044,1.3186693629901654,1.8788294228055937,2.3021728866442674,2.8049559315215236,2.79085809185793,2.385604978011052,2.034425935955617,2.36455304679576,2.661661970356951,3.220938441579479,3.5372619668639502,4.126472801046649,4.773305400290709,2.618311584887398,3.042294455761236,3.3552612085764317,3.8800057273726343,3.1497795337310692,4.192718555888159,4.943795213306384,4.179978734661484,3.854146396343092,4.520816052194314,4.536396024256358,2.3935097428021654,1.8454147380888546,1.4395215254459457,1.5670212364724212,1.1100550536897809,2.063707558955214,1.929018172830705,2.7914552158725785,2.5353062493075225,3.40359287289835,2.2718078948518317,4.341658669218481,3.5970667062050556,2.841165644981338,3.0987452657845598,3.1200071224989925,2.5873624493766707,0.7615773105863909,1.2525529485370623,0.38873012632302006,0.582141639885766,1.2018504251546631,0.43333333333333335,0.894427190999916,2.083799947745038,0.7601169500660919,1.155662388223981,1.4522013940527976,2.3213980461973533,1.4670454056443591,2.24746771080501
Z03,1.240071682515885,3.6969957773546045,2.7406406388125952,0.9614803401237304,0,1.822391591044886,2.933333333333333,3.5039660069381062,3.476907949441413,3.540401734894565,3.0987452657845598,3.205550741379015,3.3179645701678147,3.7526287082819985,3.9802289158065047,4.197486020094515,4.3576242252962665,3.68450207701876,3.115908998813812,4.337946262665984,4.613627158273147,4.789803985782949,4.9791788702779325,5.0536015759939845,4.453338323350497,4.3288438281934924,3.6980475328956435,3.4596081987544323,4.41877308260512,4.397979333992171,4.341658669218481,3.049407957110509,2.733536577809454,2.3506500283018643,2.500888730920359,2.098941532190822,1.9163043135739746,1.4655298624653739,2.34117729168705,1.9846634195472261,2.3589074683938844,2.0615528128088303,1.4884742374510738,2.265195601070934,2.595936996325005,2.4140790744666543,2.1911437906059725,2.514181996417743,3.2885322629471716,2.903063515973734,2.4596747752497685,4.388115262337072,3.967926970654128,3.5610547750787425,3.25388656498314,1.3928388277184118,1.6526073674987387,2.4698178070456938,1.5835964693626272,2.5298221281347035,2.9310597249307477,2.116863507907657,2.9561611743761347,2.9668539266742173,0.784573486395988,1.140175425099138,2.00554786086551,2.765863337187866,4.550579938620767,4.195500235040182,3.3800065746155648,2.5536466300393075,2.0442330808615954,1.2,1.2982894729433632,0.7753135566408672,1.1666666666666667,1.4552586635295381,1.8740923729160797,3.6784658637958176,3.1752515210959626,2.7351619899214583,2.6549743668986503,2.64154836748786,2.9107081994288304,3.0661231402393336,3.5347481444148814,4.166799997866735,3.262241901242491,3.5418137224371984,3.7267799624996494,4.050377211514448,3.383784863137726,4.224400023145956,4.775516260631467,3.9503867602496285,3.511409973215888,4.153980687913168,4.049828528606009,3.3099177566150426,2.779488362191062,2.2688714766988847,2.2355710182809623,1.6455326729596644,2.237309892606645,1.7754498647447698,2.589937794190775,2.1931712199461306,2.8491714195144136,1.6829207415152452,3.678918923331207,2.871507540570903,2.116863507907657,2.2593017603774057,4.038839217178894,3.5139404914963737,1.7159383568311668,2.1343747458109497,1.019803902718557,0.5666666666666667,1.8820792284657473,0.8062257748298549,1.39204086785474,2.654137231652584,0.7363574011458174,1.1785113019775793,1.766981104093143,2.771682200798321,0.8749603165604458,2.4189070075368977
Z04,2.4388066298453794,3.411418733866861,3.2579816519502445,1.8027756377319946,1.822391591044886,0,2.2541320083595617,1.74515201502779,2.2541320083595617,2.1934245168482804,1.718203195847983,1.6829207415152452,1.6696639715157593,2.1666666666666665,2.248209163855633,2.389793110524656,2.5353062493075225,1.8633899812498247,1.3924399049470282,2.5230052626888346,2.8382310609877335,3.0711923128033223,3.3122667632772442,3.468268860525217,2.803965445975079,2.81977146434088,2.1262904578422748,1.9677962857527256,3.0695638488590236,3.117869643059362,3.2338487561693077,2.520141089524773,2.265195601070934,2.0747155092793914,1.6526073674987387,1.0413666234542205,0.8692269873603532,0.7333333333333333,0.669991708074726,0.38873012632302006,0.5467073155618909,0.4447221354708778,0.570574758954123,0.7520342781785652,1.2454361128179603,1.3148721948877347,1.32077418374393,1.7499206331208916,2.875953948016399,2.713341523329163,2.7051391420364643,4.670593585877971,4.491102314577124,4.120949189473491,3.7812402433299286,1.6696639715157593,2.272785857830771,3.268196920491651,2.6034165586355513,3.6167818722050558,4.002360414666437,3.457680661303984,4.2282121254470875,4.374801582802229,2.5440562537456244,2.94637253433966,3.6534610683265503,4.353287391283869,4.701063709417264,4.420281539550269,3.4539832078341086,2.748737083745107,2.053722906766582,1.1836853936376468,0.5270462766947299,1.164283279771532,1.4,1.9104973174542799,2.584139659108574,2.9942537560393165,2.2541320083595617,1.7074997966487595,0.9386751893552482,0.8647414514048565,1.5180396715647602,1.9871811414385172,2.7002057534771513,3.324822468109304,1.9745604292826515,1.9677962857527256,1.996942106766688,2.2281033289424537,1.5804359454839596,2.433561633125864,3.141832444786181,2.3949019928914743,2.1426878239984264,2.8049559315215236,2.9352266617001757,2.8270518605469945,2.5197001585285674,1.7745108872274886,1.3535960336164634,0.9944289260117533,0.4714045207910317,0.3333333333333333,1.0338708279513882,0.97182531580755,1.996942106766688,1.2692955176439848,3.023243291566195,2.5024432505497947,1.910206504252587,2.420514178617611,4.386849033696561,3.864942144169532,2.0024984394500787,2.83411753853333,1.4240006242195884,1.433720877840438,2.9756418541962413,2.1176506899024785,2.692582403567252,3.8650858837662185,2.3211587144738246,2.8104961997641786,3.2360813064912666,4.122162323613933,2.6973237765525213,4.011788185391203
Z05,2.4166091947189146,5.661271941887264,5.314132102234569,3.5577770837670224,2.933333333333333,2.2541320083595617,0,2.245489305746572,4.373658524495127,4.243819034784589,3.806719205708652,3.6612080580655952,3.49030403005558,3.9802289158065047,3.7526287082819985,3.512675460228128,3.3707895547218936,2.811484384527939,3.147132733845912,3.1340424729448424,3.0267327452405026,2.9105173270590763,2.8923270139380084,2.747321928310874,2.4388066298453794,2.017974782355375,1.7650936393164969,1.4802402207449679,1.8150604520082643,1.7074997966487595,1.492574211815874,4.7741200469010225,4.51429827203397,4.293276397137998,3.9051248379533274,3.295282823808738,3.1200071224989925,2.8653097563788803,2.7626476833324625,2.6214923654709015,2.1868292622475636,1.862197029795123,1.8932629094883902,1.6090024514862895,1.2078447287995624,0.968962790249909,0.9433981132056604,0.5088112507491249,0.6708203932499369,0.7781745019952502,1.3220354676701294,6.8431636608288775,6.581624250728522,6.18860960869959,5.852349955359813,3.671209307268897,4.2176876234364356,5.198504058327207,4.3737855457258075,5.392999577641783,5.7984672304172085,5.040392400950105,5.878113832023179,5.900094161207184,3.1933959631993303,3.8967222693495165,4.895803191396576,5.665195887561563,6.90611645170022,6.603870918719649,5.653121065197328,4.891375630183758,4.203834228680077,3.1692971530679235,2.2815686611530137,2.2580719405919933,1.7666666666666666,1.644519517805868,1.8740923729160797,5.235986588557648,4.478342947514801,3.936862823224717,2.867441755680876,2.0591260281974,1.1967548714010827,0.6368324391514266,0.6082762530298219,1.2337837015547832,4.087107099703217,3.8334782581300177,3.565887765417689,3.1547142853548915,2.98459005187945,2.8403833857030247,2.639233895575676,1.8657735958875372,1.254768681647914,1.6090024514862895,1.2405196043952265,5.081119736610995,4.7526600738720814,4.012342070273781,3.6077077979730503,3.1841621957571333,2.52476621579988,1.93362066830309,1.5509853498842456,1.2965766892517816,0.31622776601683794,1.2879786057574438,0.7923242882669809,0.4772607021092118,0.8749603165604458,1.1785113019775793,6.535458837925783,6.000833275470999,4.054352941935097,4.789340014843149,3.289039035611736,2.987566828634224,4.7239343301484995,3.6552853665768845,4.285375647996853,5.558976724382124,3.6672726771933513,4.103386135593113,4.7001182018233445,5.7024361265846535,3.562926387738658,5.323532661682465
Z06,3.784471194529326,4.495059015803414,4.786323107447813,3.53679076125361,3.5039660069381062,1.74515201502779,2.245489305746572,0,2.7280436620813497,2.509758731210809,2.216102685145955,1.9533447098644816,1.6579773487261182,2.031966753883756,1.6275407487644935,1.2775845264491201,1.1352924243950935,0.5962847939999439,1.3743685418725535,0.9486832980505138,1.1100550536897809,1.3308309851784754,1.601735170231195,1.8333333333333333,1.13382342344633,1.3617798810543664,0.7557189365836423,0.8806563209081938,1.8126101499096698,1.9533447098644816,2.2864334186190023,3.602005614160595,3.4565557680699697,3.433333333333333,2.779488362191062,2.3392781412697,2.29613201323927,2.4149994248906608,1.608657134935154,1.8040078836979745,1.2083045973594573,1.4426056672254934,2.0275875100994067,1.2806248474865698,1.2133516482134197,1.5524174696260025,1.8236105822119908,1.976810000424365,2.883092475489162,3.0016662039607267,3.370624736026114,5.978479925718762,5.933707853348435,5.602479609760109,5.271832909171366,3.3333333333333335,3.9293765408777,4.889898885571267,4.3118699217650605,5.2975885499389666,5.667254871432709,5.187270744599493,5.934550436965624,6.103186781419105,4.149431018558783,4.643753271271466,5.396500923952688,6.098178234339971,5.930055274241173,5.713920623257632,4.756282395129858,4.203305577492288,3.5523075442434444,2.8909821476062034,2.2283526551144357,2.7586228448267445,2.709038369770515,3.0411985941218784,3.6167818722050558,3.838981346370125,3.0782390348307187,2.647640458974745,1.4368174708168204,0.8806563209081938,1.0671873729054748,1.6278820596099706,2.290317784840251,2.6997942308422114,2.477453890141606,1.960725489313699,1.5092308563562362,0.9098229375970788,0.9803627446568495,0.7401201103724839,1.470071804746663,0.9551032521262935,1.194896555262328,1.6138291249213605,2.0615528128088303,3.8726964479258865,3.7813871646379837,3.1,2.6,2.570992026436488,1.511805396059809,1.7285189549952231,1.0005554013202422,1.5059142664102023,1.937925580499818,2.2511725339870727,2.711498150879366,2.703290176392053,2.570992026436488,3.124811105402124,5.749685981763603,5.269303137565304,3.608631627393162,4.458450154232722,3.1513665466129313,3.1729761703766033,4.680218418454896,3.862785408369343,4.43045019031801,5.565968020030298,4.059830319388019,4.550946177566937,4.979067293290091,5.844275451718164,4.368193117424081,5.756928193248742
F01,4.490978611493144,1.9405039437103846,2.867441755680876,2.78408173570948,3.476907949441413,2.2541320083595617,4.373658524495127,2.7280436620813497,0,0.26874192494328497,0.5676462121975467,0.7774602526460401,1.0770329614269007,0.9055385138137416,1.5033296378372907,2.1,2.5019992006393608,2.276937514391742,1.36055544213057,2.753583523741784,3.3047104428544283,3.739280976634709,4.1,4.441346142281139,3.7631251787724405,4.0858835573770875,3.4647430560496755,3.4953937943782214,4.535906132675636,4.66476151587624,4.9482881439499415,1.2224747213928167,1.3017082793177757,1.5878007151752738,1.0225241100118645,1.40356688476182,1.608657134935154,2.0733762053445317,1.6292465879799916,1.8693433190413271,2.1868292622475636,2.5440562537456244,2.805153986662566,2.766867462592951,3.1890437438203945,3.406692759195574,3.5050756847114664,3.9022785366728727,5.0337748150755495,4.9334459446606775,4.959054569393468,3.5355339059327378,3.689323936863109,3.4623370398876214,3.1904370999737464,2.29830855679176,2.618311584887398,3.2086688136290342,3.1271215020988374,3.7712361663282534,4.020503008883894,3.9800893345641266,4.455333881989093,4.764918094201037,4.255454016775283,4.32691832858239,4.565084884205331,5.0337748150755495,3.4040825162997708,3.2717647293845022,2.4244128727957572,2.2541320083595617,1.9416487838947598,2.282299035816492,2.570992026436488,3.1631559486619616,3.58158872258915,4.116363011742823,4.786207034571089,1.1709445380166865,0.58309518948453,0.7520342781785652,1.5114378731672846,2.3570226039551585,3.3241540277189325,3.936862823224717,4.691007946652356,5.240229002629561,0.28674417556808757,0.8393118874676114,1.4063348739819326,2.324029068473781,1.7641491496532322,2.935794422109438,4.06133530312931,3.682541392993582,3.78667253520672,4.321779468896785,4.686742531391665,1.3743685418725535,1.608657134935154,1.4019827229875395,1.2445436468396314,1.8345450541089352,1.8693433190413271,2.579620988526114,2.854431252943006,3.097131289148431,4.076218290959839,3.523413748688116,5.074226815759991,4.696689141181145,4.159193297851025,4.674517206205483,3.395585369269929,3.027466854575877,2.253392504154076,2.8790430508918914,2.510422717835031,2.912234728024359,3.3869028789014766,3.215414263961782,3.458965805619426,4.10149024407254,3.54400902933387,3.905836089181874,3.990265933772112,4.482310911919331,4.216501973068302,4.76118565998942
F02,4.504442251822083,2.209072203437452,3.1064449134018135,2.903063515973734,3.540401734894565,2.1934245168482804,4.243819034784589,2.509758731210809,0.26874192494328497,0,0.4772607021092118,0.5897268670984711,0.8517954892787092,0.6368324391514266,1.235133820909927,1.8336363385966756,2.237309892606645,2.0366093827186837,1.1609383178178665,2.493770015235745,3.0470386352070506,3.485366232948523,3.8482319172431496,4.19576506068255,3.52294069083076,3.861203036475664,3.254569437302302,3.300673331980074,4.321779468896785,4.456331326201957,4.753711999877336,1.4794894014114766,1.5347819244295118,1.7913371790059205,1.16619037896906,1.4429907214608908,1.636391694484477,2.1023796041628637,1.5412837362262521,1.8190351532856337,2.063707558955214,2.4449494427856333,2.7570112642336286,2.6468010041473757,3.0466739606039606,3.282614134429381,3.4,3.784471194529326,4.909175083453431,4.83137891519825,4.892624835175672,3.8042374035044424,3.953198423780139,3.720513704076659,3.443835071544513,2.4305920632178855,2.7938424357067015,3.4313910363647633,3.3015148038438356,3.9867837218043873,4.248006068210773,4.169998667732268,4.672853042366682,4.973373547647959,4.3237072570242825,4.437842318564782,4.727813683112123,5.221536598018292,3.672117161045443,3.540401734894565,2.688452673523895,2.4877477542727053,2.1296843793284386,2.361026142261971,2.5551690528982403,3.171049598406741,3.5568400457584697,4.0858835573770875,4.759084879353266,1.4348828833353922,0.8359957469322968,0.8806563209081938,1.3780017739062924,2.2022715545545237,3.161574853701167,3.7818278943154224,4.534313619501854,5.068091904805551,0.2848001248439177,0.582141639885766,1.1455226851626388,2.0661289623082313,1.535505707504136,2.6841096185596527,3.816047984790315,3.4647430560496755,3.5978388574871505,4.114068005703789,4.49839477542329,1.6414763002993509,1.852325865259974,1.5733898294941262,1.3387390418682135,1.896195020443719,1.7770137247015787,2.5090945688745085,2.707192067232927,2.985148423631748,3.9408120990476063,3.457680661303984,4.925218551270367,4.585242026812155,4.079487985301859,4.607843554443035,3.6627251542472523,3.2893768406797057,2.4223496398698883,3.087789572565534,2.605336403955884,2.9814239699997196,3.5766216213379662,3.336331984546968,3.6186246620013582,4.3149610529979165,3.6595385258557154,4.041589346339438,4.160261743902392,4.690534203170372,4.309421203724592,4.94064773081425
